YEAR,DATES,POLLSTER,GRADE,SAMPLE,Unnamed: 5,WEIGHT,APPROVE,DISAPPROVE,ADJUSTED_APPROVE,ADJUSTED_DISAPPROVE,datestring,bothdates,start,end
2022,MAR. 14-24,Marquette University Law School,A/B,1004,A,1.92,44%,55%,42%,55%,MAR. 14-24 2022,"(datetime.date(2022, 3, 14), datetime.date(2022, 3, 24))",2022-03-14,2022-03-24
2022,MAR. 21-23,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.8,41%,58%,43%,52%,MAR. 21-23 2022,"(datetime.date(2022, 3, 21), datetime.date(2022, 3, 23))",2022-03-21,2022-03-23
2022,MAR. 21-22,NewsNation,,1086,RV,0.84,44%,56%,43%,54%,MAR. 21-22 2022,"(datetime.date(2022, 3, 21), datetime.date(2022, 3, 22))",2022-03-21,2022-03-22
2022,MAR. 21-22,Ipsos,B-,1005,A,0.69,40%,54%,39%,56%,MAR. 21-22 2022,"(datetime.date(2022, 3, 21), datetime.date(2022, 3, 22))",2022-03-21,2022-03-22
2022,MAR. 19-22,YouGov,B+,1500,A,0.95,43%,48%,44%,49%,MAR. 19-22 2022,"(datetime.date(2022, 3, 19), datetime.date(2022, 3, 22))",2022-03-19,2022-03-22
2022,MAR. 18-22,Hart Research Associates/Public Opinion Strategies,B+,1000,A,1.45,40%,55%,41%,55%,MAR. 18-22 2022,"(datetime.date(2022, 3, 18), datetime.date(2022, 3, 22))",2022-03-18,2022-03-22
2022,MAR. 17-22,McLaughlin & Associates,C/D,1000,LV,0.76,41%,57%,40%,56%,MAR. 17-22 2022,"(datetime.date(2022, 3, 17), datetime.date(2022, 3, 22))",2022-03-17,2022-03-22
2022,MAR. 16-22,Morning Consult,B,45000,A,0.97,41%,50%,40%,53%,MAR. 16-22 2022,"(datetime.date(2022, 3, 16), datetime.date(2022, 3, 22))",2022-03-16,2022-03-22
2022,MAR. 18-21,Morning Consult,B,2211,A,0.05,38%,56%,37%,59%,MAR. 18-21 2022,"(datetime.date(2022, 3, 18), datetime.date(2022, 3, 21))",2022-03-18,2022-03-21
2022,MAR. 18-21,Echelon Insights,B/C,1050,RV,1.24,45%,53%,44%,53%,MAR. 18-21 2022,"(datetime.date(2022, 3, 18), datetime.date(2022, 3, 21))",2022-03-18,2022-03-21
2022,MAR. 18-21,Morning Consult,B,2005,RV,0.04,42%,55%,41%,58%,MAR. 18-21 2022,"(datetime.date(2022, 3, 18), datetime.date(2022, 3, 21))",2022-03-18,2022-03-21
2022,MAR. 18-21,Beacon Research/Shaw & Company Research,A,1004,RV,1.77,45%,54%,43%,53%,MAR. 18-21 2022,"(datetime.date(2022, 3, 18), datetime.date(2022, 3, 21))",2022-03-18,2022-03-21
2022,MAR. 17-21,AP-NORC,,1082,A,1.44,43%,56%,40%,56%,MAR. 17-21 2022,"(datetime.date(2022, 3, 17), datetime.date(2022, 3, 21))",2022-03-17,2022-03-21
2022,MAR. 15-21,University of Massachusetts Lowell,B+,1000,A,1.52,43%,57%,43%,56%,MAR. 15-21 2022,"(datetime.date(2022, 3, 15), datetime.date(2022, 3, 21))",2022-03-15,2022-03-21
2022,MAR. 11-21,Hofstra University,B/C,2000,RV,1.34,43%,57%,42%,56%,MAR. 11-21 2022,"(datetime.date(2022, 3, 11), datetime.date(2022, 3, 21))",2022-03-11,2022-03-21
,03/20/2022,Redfield & Wilton Strategies,B/C,1500,RV,1.02,39%,45%,41%,50%,,"('', '')",,
2022,MAR. 18-20,Emerson College,A-,1023,RV,1.64,43%,49%,43%,50%,MAR. 18-20 2022,"(datetime.date(2022, 3, 18), datetime.date(2022, 3, 20))",2022-03-18,2022-03-20
2022,MAR. 18-20,Léger,B/C,1000,A,0.98,47%,51%,47%,51%,MAR. 18-20 2022,"(datetime.date(2022, 3, 18), datetime.date(2022, 3, 20))",2022-03-18,2022-03-20
2022,MAR. 17-20,American Research Group,C+,1100,A,1.09,45%,51%,43%,53%,MAR. 17-20 2022,"(datetime.date(2022, 3, 17), datetime.date(2022, 3, 20))",2022-03-17,2022-03-20
2022,MAR. 17-20,Navigator Research,B/C,1000,RV,0.91,44%,52%,43%,51%,MAR. 17-20 2022,"(datetime.date(2022, 3, 17), datetime.date(2022, 3, 20))",2022-03-17,2022-03-20
2022,MAR. 16-20,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.54,40%,58%,42%,52%,MAR. 16-20 2022,"(datetime.date(2022, 3, 16), datetime.date(2022, 3, 20))",2022-03-16,2022-03-20
2022,MAR. 15-20,Selzer & Co.,A+,1002,A,2.07,34%,52%,37%,52%,MAR. 15-20 2022,"(datetime.date(2022, 3, 15), datetime.date(2022, 3, 20))",2022-03-15,2022-03-20
2022,MAR. 15-18,Morning Consult,B,4419,A,0.09,41%,54%,40%,57%,MAR. 15-18 2022,"(datetime.date(2022, 3, 15), datetime.date(2022, 3, 18))",2022-03-15,2022-03-18
2022,MAR. 1-18,Gallup,B+,1017,A,1.54,42%,54%,42%,53%,MAR. 1-18 2022,"(datetime.date(2022, 3, 1), datetime.date(2022, 3, 18))",2022-03-01,2022-03-18
2022,MAR. 14-17,Morning Consult,B,2210,A,0.05,43%,53%,42%,56%,MAR. 14-17 2022,"(datetime.date(2022, 3, 14), datetime.date(2022, 3, 17))",2022-03-14,2022-03-17
2022,MAR. 14-15,Ipsos,B-,1005,A,0.68,43%,53%,41%,55%,MAR. 14-15 2022,"(datetime.date(2022, 3, 14), datetime.date(2022, 3, 15))",2022-03-14,2022-03-15
2022,MAR. 13-15,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.7,42%,57%,44%,51%,MAR. 13-15 2022,"(datetime.date(2022, 3, 13), datetime.date(2022, 3, 15))",2022-03-13,2022-03-15
2022,MAR. 12-15,YouGov,B+,1500,A,0.72,40%,50%,41%,51%,MAR. 12-15 2022,"(datetime.date(2022, 3, 12), datetime.date(2022, 3, 15))",2022-03-12,2022-03-15
2022,MAR. 9-15,Morning Consult,B,45000,A,1.0,41%,51%,40%,54%,MAR. 9-15 2022,"(datetime.date(2022, 3, 9), datetime.date(2022, 3, 15))",2022-03-09,2022-03-15
2022,MAR. 11-14,Morning Consult,B,2210,A,0.05,40%,54%,39%,57%,MAR. 11-14 2022,"(datetime.date(2022, 3, 11), datetime.date(2022, 3, 14))",2022-03-11,2022-03-14
2022,MAR. 11-14,Morning Consult,B,2005,RV,0.04,41%,56%,40%,59%,MAR. 11-14 2022,"(datetime.date(2022, 3, 11), datetime.date(2022, 3, 14))",2022-03-11,2022-03-14
2022,MAR. 10-14,Monmouth University,A,809,A,1.53,39%,54%,40%,54%,MAR. 10-14 2022,"(datetime.date(2022, 3, 10), datetime.date(2022, 3, 14))",2022-03-10,2022-03-14
2022,MAR. 10-14,YouGov,B+,1623,A,0.75,41%,53%,42%,54%,MAR. 10-14 2022,"(datetime.date(2022, 3, 10), datetime.date(2022, 3, 14))",2022-03-10,2022-03-14
2022,MAR. 10-14,Quinnipiac University,A-,1936,A,1.74,38%,53%,41%,53%,MAR. 10-14 2022,"(datetime.date(2022, 3, 10), datetime.date(2022, 3, 14))",2022-03-10,2022-03-14
2022,MAR. 7-13,Pew Research Center,B/C,10441,A,3.17,43%,55%,43%,54%,MAR. 7-13 2022,"(datetime.date(2022, 3, 7), datetime.date(2022, 3, 13))",2022-03-07,2022-03-13
2022,FEB. 28-MAR. 12,Saint Leo University,C/D,1000,A,0.81,45%,53%,42%,55%,FEB. 28-MAR. 12 2022,"(datetime.date(2022, 2, 28), datetime.date(2022, 3, 12))",2022-02-28,2022-03-12
2022,MAR. 8-11,YouGov,B+,2088,A,0.94,43%,57%,44%,58%,MAR. 8-11 2022,"(datetime.date(2022, 3, 8), datetime.date(2022, 3, 11))",2022-03-08,2022-03-11
2022,MAR. 8-10,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.62,41%,58%,43%,52%,MAR. 8-10 2022,"(datetime.date(2022, 3, 8), datetime.date(2022, 3, 10))",2022-03-08,2022-03-10
2022,MAR. 8-9,Trafalgar Group,A-,1080,LV,1.71,42%,52%,44%,50%,MAR. 8-9 2022,"(datetime.date(2022, 3, 8), datetime.date(2022, 3, 9))",2022-03-08,2022-03-09
2022,MAR. 2-9,Momentive/SurveyMonkey,C,16901,A,1.5,45%,54%,44%,54%,MAR. 2-9 2022,"(datetime.date(2022, 3, 2), datetime.date(2022, 3, 9))",2022-03-02,2022-03-09
2022,MAR. 2-9,Schoen Cooperman Research,B/C,800,LV,0.98,45%,54%,44%,54%,MAR. 2-9 2022,"(datetime.date(2022, 3, 2), datetime.date(2022, 3, 9))",2022-03-02,2022-03-09
,03/08/2022,Redfield & Wilton Strategies,B/C,1500,RV,0.92,37%,47%,39%,52%,,"('', '')",,
2022,MAR. 7-8,Ipsos,B-,1005,A,0.68,45%,49%,43%,50%,MAR. 7-8 2022,"(datetime.date(2022, 3, 7), datetime.date(2022, 3, 8))",2022-03-07,2022-03-08
2022,MAR. 7-8,InsiderAdvantage,B,750,LV,1.15,42%,54%,43%,52%,MAR. 7-8 2022,"(datetime.date(2022, 3, 7), datetime.date(2022, 3, 8))",2022-03-07,2022-03-08
2022,MAR. 5-8,YouGov,B+,1500,A,0.66,41%,48%,42%,49%,MAR. 5-8 2022,"(datetime.date(2022, 3, 5), datetime.date(2022, 3, 8))",2022-03-05,2022-03-08
2022,MAR. 2-8,Morning Consult,B,45000,A,1.0,42%,50%,41%,53%,MAR. 2-8 2022,"(datetime.date(2022, 3, 2), datetime.date(2022, 3, 8))",2022-03-02,2022-03-08
2022,MAR. 4-7,Morning Consult,B,2005,RV,0.04,46%,51%,45%,54%,MAR. 4-7 2022,"(datetime.date(2022, 3, 4), datetime.date(2022, 3, 7))",2022-03-04,2022-03-07
2022,MAR. 3-7,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.7,41%,58%,43%,52%,MAR. 3-7 2022,"(datetime.date(2022, 3, 3), datetime.date(2022, 3, 7))",2022-03-03,2022-03-07
2022,MAR. 3-7,Navigator Research,B/C,1000,RV,0.77,45%,53%,44%,52%,MAR. 3-7 2022,"(datetime.date(2022, 3, 3), datetime.date(2022, 3, 7))",2022-03-03,2022-03-07
2022,MAR. 2-7,"Fabrizio, Lee & Associates/Impact Research",,1500,RV,1.16,42%,57%,42%,55%,MAR. 2-7 2022,"(datetime.date(2022, 3, 2), datetime.date(2022, 3, 7))",2022-03-02,2022-03-07
2022,MAR. 4-6,Quinnipiac University,A-,1374,A,1.23,38%,51%,41%,51%,MAR. 4-6 2022,"(datetime.date(2022, 3, 4), datetime.date(2022, 3, 6))",2022-03-04,2022-03-06
2022,MAR. 4-6,Morning Consult,B,2005,RV,0.04,45%,51%,44%,54%,MAR. 4-6 2022,"(datetime.date(2022, 3, 4), datetime.date(2022, 3, 6))",2022-03-04,2022-03-06
2022,MAR. 4-6,Léger,B/C,1003,A,0.97,48%,49%,48%,49%,MAR. 4-6 2022,"(datetime.date(2022, 3, 4), datetime.date(2022, 3, 6))",2022-03-04,2022-03-06
2022,MAR. 2-4,TIPP Insights,A+,1318,A,2.44,39%,47%,40%,52%,MAR. 2-4 2022,"(datetime.date(2022, 3, 2), datetime.date(2022, 3, 4))",2022-03-02,2022-03-04
2022,MAR. 1-3,Cor Services,,524,LV,0.63,47%,48%,49%,47%,MAR. 1-3 2022,"(datetime.date(2022, 3, 1), datetime.date(2022, 3, 3))",2022-03-01,2022-03-03
2022,MAR. 1-2,Marist College,A,1322,A,2.02,47%,50%,48%,50%,MAR. 1-2 2022,"(datetime.date(2022, 3, 1), datetime.date(2022, 3, 2))",2022-03-01,2022-03-02
2022,FEB. 28-MAR. 2,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.78,44%,54%,46%,48%,FEB. 28-MAR. 2 2022,"(datetime.date(2022, 2, 28), datetime.date(2022, 3, 2))",2022-02-28,2022-03-02
2022,FEB. 28-MAR. 1,Ipsos,B-,1005,A,0.65,43%,54%,41%,55%,FEB. 28-MAR. 1 2022,"(datetime.date(2022, 2, 28), datetime.date(2022, 3, 1))",2022-02-28,2022-03-01
2022,FEB. 26-MAR. 1,YouGov,B+,1500,A,0.63,42%,47%,43%,48%,FEB. 26-MAR. 1 2022,"(datetime.date(2022, 2, 26), datetime.date(2022, 3, 1))",2022-02-26,2022-03-01
2022,FEB. 23-MAR. 1,Morning Consult,B,45000,A,0.98,42%,50%,41%,53%,FEB. 23-MAR. 1 2022,"(datetime.date(2022, 2, 23), datetime.date(2022, 3, 1))",2022-02-23,2022-03-01
2022,FEB. 24-28,YouGov,B+,2238,A,0.89,44%,56%,45%,57%,FEB. 24-28 2022,"(datetime.date(2022, 2, 24), datetime.date(2022, 2, 28))",2022-02-24,2022-02-28
2022,FEB. 26-27,Morning Consult,B,2210,A,0.05,42%,54%,41%,57%,FEB. 26-27 2022,"(datetime.date(2022, 2, 26), datetime.date(2022, 2, 27))",2022-02-26,2022-02-27
2022,FEB. 25-27,Morning Consult,B,2004,RV,0.04,41%,56%,40%,59%,FEB. 25-27 2022,"(datetime.date(2022, 2, 25), datetime.date(2022, 2, 27))",2022-02-25,2022-02-27
2022,FEB. 25-27,Quinnipiac University,A-,1364,A,1.34,37%,52%,40%,52%,FEB. 25-27 2022,"(datetime.date(2022, 2, 25), datetime.date(2022, 2, 27))",2022-02-25,2022-02-27
2022,FEB. 24-27,YouGov,B+,1532,A,0.61,41%,53%,42%,54%,FEB. 24-27 2022,"(datetime.date(2022, 2, 24), datetime.date(2022, 2, 27))",2022-02-24,2022-02-27
2022,FEB. 23-27,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.54,40%,59%,42%,53%,FEB. 23-27 2022,"(datetime.date(2022, 2, 23), datetime.date(2022, 2, 27))",2022-02-23,2022-02-27
,02/26/2022,Morning Consult,B,2002,RV,0.04,44%,54%,43%,57%,,"('', '')",,
2022,FEB. 24-25,YouGov Blue,,1007,RV,0.84,41%,55%,41%,54%,FEB. 24-25 2022,"(datetime.date(2022, 2, 24), datetime.date(2022, 2, 25))",2022-02-24,2022-02-25
,02/24/2022,Morning Consult,B,1717,RV,0.04,47%,51%,46%,54%,,"('', '')",,
2022,FEB. 23-24,NewsNation,,1046,RV,0.82,43%,57%,42%,56%,FEB. 23-24 2022,"(datetime.date(2022, 2, 23), datetime.date(2022, 2, 24))",2022-02-23,2022-02-24
2022,FEB. 23-24,Harris Poll,B+,2026,RV,2.09,38%,55%,37%,56%,FEB. 23-24 2022,"(datetime.date(2022, 2, 23), datetime.date(2022, 2, 24))",2022-02-23,2022-02-24
2022,FEB. 20-24,ABC News/The Washington Post,A+,1011,A,2.0,37%,55%,38%,54%,FEB. 20-24 2022,"(datetime.date(2022, 2, 20), datetime.date(2022, 2, 24))",2022-02-20,2022-02-24
,02/23/2022,Redfield & Wilton Strategies,B/C,1500,RV,0.96,39%,41%,41%,46%,,"('', '')",,
2022,FEB. 22-23,Ipsos,B-,1004,A,0.62,43%,53%,42%,54%,FEB. 22-23 2022,"(datetime.date(2022, 2, 22), datetime.date(2022, 2, 23))",2022-02-22,2022-02-23
2022,FEB. 19-23,Echelon Insights,B/C,1078,RV,1.25,44%,53%,43%,53%,FEB. 19-23 2022,"(datetime.date(2022, 2, 19), datetime.date(2022, 2, 23))",2022-02-19,2022-02-23
2022,FEB. 19-23,The Bullfinch Group,,1247,A,1.09,44%,51%,43%,52%,FEB. 19-23 2022,"(datetime.date(2022, 2, 19), datetime.date(2022, 2, 23))",2022-02-19,2022-02-23
2022,FEB. 20-22,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.7,45%,55%,47%,49%,FEB. 20-22 2022,"(datetime.date(2022, 2, 20), datetime.date(2022, 2, 22))",2022-02-20,2022-02-22
2022,FEB. 19-22,Beacon Research/Shaw & Company Research,A,1001,RV,1.77,43%,56%,41%,55%,FEB. 19-22 2022,"(datetime.date(2022, 2, 19), datetime.date(2022, 2, 22))",2022-02-19,2022-02-22
2022,FEB. 19-22,YouGov,B+,1500,A,0.61,41%,49%,42%,50%,FEB. 19-22 2022,"(datetime.date(2022, 2, 19), datetime.date(2022, 2, 22))",2022-02-19,2022-02-22
2022,FEB. 17-22,Navigator Research,B/C,1770,RV,1.1,43%,55%,42%,54%,FEB. 17-22 2022,"(datetime.date(2022, 2, 17), datetime.date(2022, 2, 22))",2022-02-17,2022-02-22
2022,FEB. 16-22,Morning Consult,B,45000,A,0.98,42%,50%,41%,53%,FEB. 16-22 2022,"(datetime.date(2022, 2, 16), datetime.date(2022, 2, 22))",2022-02-16,2022-02-22
2022,FEB. 16-22,McLaughlin & Associates,C/D,1000,LV,0.76,41%,57%,40%,56%,FEB. 16-22 2022,"(datetime.date(2022, 2, 16), datetime.date(2022, 2, 22))",2022-02-16,2022-02-22
2022,FEB. 19-21,Morning Consult,B,2005,RV,0.04,45%,53%,44%,56%,FEB. 19-21 2022,"(datetime.date(2022, 2, 19), datetime.date(2022, 2, 21))",2022-02-19,2022-02-21
2022,FEB. 18-21,AP-NORC,,1289,A,1.6,44%,55%,41%,55%,FEB. 18-21 2022,"(datetime.date(2022, 2, 18), datetime.date(2022, 2, 21))",2022-02-18,2022-02-21
2022,FEB. 15-21,Marist College,A,1264,A,1.97,39%,55%,40%,55%,FEB. 15-21 2022,"(datetime.date(2022, 2, 15), datetime.date(2022, 2, 21))",2022-02-15,2022-02-21
2022,FEB. 19-20,Morning Consult,B,3007,RV,0.06,45%,52%,44%,55%,FEB. 19-20 2022,"(datetime.date(2022, 2, 19), datetime.date(2022, 2, 20))",2022-02-19,2022-02-20
2022,FEB. 19-20,Emerson College,A-,1138,RV,1.77,42%,50%,43%,51%,FEB. 19-20 2022,"(datetime.date(2022, 2, 19), datetime.date(2022, 2, 20))",2022-02-19,2022-02-20
2022,FEB. 18-20,Morning Consult,B,2005,RV,0.04,44%,52%,43%,55%,FEB. 18-20 2022,"(datetime.date(2022, 2, 18), datetime.date(2022, 2, 20))",2022-02-18,2022-02-20
2022,FEB. 17-20,American Research Group,C+,1100,A,1.09,44%,52%,42%,54%,FEB. 17-20 2022,"(datetime.date(2022, 2, 17), datetime.date(2022, 2, 20))",2022-02-17,2022-02-20
2022,FEB. 16-20,Suffolk University,B+,1000,RV,1.56,39%,57%,41%,54%,FEB. 16-20 2022,"(datetime.date(2022, 2, 16), datetime.date(2022, 2, 20))",2022-02-16,2022-02-20
2022,FEB. 15-18,YouGov,B+,2484,A,1.0,43%,57%,44%,58%,FEB. 15-18 2022,"(datetime.date(2022, 2, 15), datetime.date(2022, 2, 18))",2022-02-15,2022-02-18
2022,FEB. 15-17,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.62,43%,56%,45%,50%,FEB. 15-17 2022,"(datetime.date(2022, 2, 15), datetime.date(2022, 2, 17))",2022-02-15,2022-02-17
2022,FEB. 10-17,Tarrance Group,B+,800,RV,1.3,41%,53%,41%,53%,FEB. 10-17 2022,"(datetime.date(2022, 2, 10), datetime.date(2022, 2, 17))",2022-02-10,2022-02-17
2022,FEB. 1-17,Gallup,B+,1008,A,1.52,41%,55%,41%,54%,FEB. 1-17 2022,"(datetime.date(2022, 2, 1), datetime.date(2022, 2, 17))",2022-02-01,2022-02-17
2022,FEB. 13-16,Trafalgar Group,A-,1078,LV,1.71,39%,58%,41%,55%,FEB. 13-16 2022,"(datetime.date(2022, 2, 13), datetime.date(2022, 2, 16))",2022-02-13,2022-02-16
2022,FEB. 14-15,Ipsos,B-,1005,A,0.56,44%,51%,43%,52%,FEB. 14-15 2022,"(datetime.date(2022, 2, 14), datetime.date(2022, 2, 15))",2022-02-14,2022-02-15
2022,FEB. 12-15,YouGov,B+,1500,A,0.61,39%,50%,40%,51%,FEB. 12-15 2022,"(datetime.date(2022, 2, 12), datetime.date(2022, 2, 15))",2022-02-12,2022-02-15
2022,FEB. 9-15,Morning Consult,B,45000,A,0.98,41%,50%,40%,53%,FEB. 9-15 2022,"(datetime.date(2022, 2, 9), datetime.date(2022, 2, 15))",2022-02-09,2022-02-15
2022,FEB. 10-14,Quinnipiac University,A-,1321,A,1.66,35%,55%,38%,55%,FEB. 10-14 2022,"(datetime.date(2022, 2, 10), datetime.date(2022, 2, 14))",2022-02-10,2022-02-14
2022,FEB. 10-14,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.7,40%,59%,42%,53%,FEB. 10-14 2022,"(datetime.date(2022, 2, 10), datetime.date(2022, 2, 14))",2022-02-10,2022-02-14
2022,FEB. 12-13,Morning Consult,B,2210,A,0.05,42%,52%,41%,55%,FEB. 12-13 2022,"(datetime.date(2022, 2, 12), datetime.date(2022, 2, 13))",2022-02-12,2022-02-13
2022,FEB. 12-13,Morning Consult,B,2005,RV,0.04,43%,53%,42%,56%,FEB. 12-13 2022,"(datetime.date(2022, 2, 12), datetime.date(2022, 2, 13))",2022-02-12,2022-02-13
2022,FEB. 8-11,YouGov,B+,2578,A,1.05,44%,56%,45%,57%,FEB. 8-11 2022,"(datetime.date(2022, 2, 8), datetime.date(2022, 2, 11))",2022-02-08,2022-02-11
2022,FEB. 9-10,Morning Consult,B,2210,A,0.05,44%,51%,43%,54%,FEB. 9-10 2022,"(datetime.date(2022, 2, 9), datetime.date(2022, 2, 10))",2022-02-09,2022-02-10
2022,FEB. 7-9,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.78,43%,55%,45%,49%,FEB. 7-9 2022,"(datetime.date(2022, 2, 7), datetime.date(2022, 2, 9))",2022-02-07,2022-02-09
2022,FEB. 3-9,Susquehanna Polling & Research,B+,800,LV,1.29,42%,52%,43%,52%,FEB. 3-9 2022,"(datetime.date(2022, 2, 3), datetime.date(2022, 2, 9))",2022-02-03,2022-02-09
2022,FEB. 7-8,Ipsos,B-,1005,A,0.36,43%,51%,42%,52%,FEB. 7-8 2022,"(datetime.date(2022, 2, 7), datetime.date(2022, 2, 8))",2022-02-07,2022-02-08
2022,FEB. 5-8,YouGov,B+,1500,A,0.64,39%,50%,40%,51%,FEB. 5-8 2022,"(datetime.date(2022, 2, 5), datetime.date(2022, 2, 8))",2022-02-05,2022-02-08
2022,FEB. 4-8,Public Opinion Strategies,A-,1000,RV,1.64,43%,54%,42%,54%,FEB. 4-8 2022,"(datetime.date(2022, 2, 4), datetime.date(2022, 2, 8))",2022-02-04,2022-02-08
2022,FEB. 2-8,Morning Consult,B,45000,A,0.99,41%,51%,40%,54%,FEB. 2-8 2022,"(datetime.date(2022, 2, 2), datetime.date(2022, 2, 8))",2022-02-02,2022-02-08
,02/07/2022,Morning Consult,B,2005,RV,0.04,43%,55%,42%,58%,,"('', '')",,
2022,FEB. 3-7,YouGov,B+,1628,A,0.74,42%,51%,43%,52%,FEB. 3-7 2022,"(datetime.date(2022, 2, 3), datetime.date(2022, 2, 7))",2022-02-03,2022-02-07
2022,FEB. 3-7,Navigator Research,B/C,1000,RV,0.79,43%,55%,42%,54%,FEB. 3-7 2022,"(datetime.date(2022, 2, 3), datetime.date(2022, 2, 7))",2022-02-03,2022-02-07
2022,FEB. 1-7,SurveyMonkey,C,7590,A,1.49,44%,53%,43%,53%,FEB. 1-7 2022,"(datetime.date(2022, 2, 1), datetime.date(2022, 2, 7))",2022-02-01,2022-02-07
2022,JAN. 31-FEB. 7,Ipsos,B-,4404,A,1.36,45%,52%,44%,53%,JAN. 31-FEB. 7 2022,"(datetime.date(2022, 1, 31), datetime.date(2022, 2, 7))",2022-01-31,2022-02-07
,02/06/2022,Redfield & Wilton Strategies,B/C,1500,RV,1.09,38%,48%,40%,53%,,"('', '')",,
2022,FEB. 5-6,Morning Consult,B,2005,RV,0.04,41%,55%,40%,58%,FEB. 5-6 2022,"(datetime.date(2022, 2, 5), datetime.date(2022, 2, 6))",2022-02-05,2022-02-06
