YEAR,DATES,POLLSTER,GRADE,SAMPLE,,WEIGHT,APPROVE,DISAPPROVE,ADJUSTED_APPROVE,ADJUSTED_DISAPPROVE
2022,MAR. 18-22,Hart Research Associates/Public Opinion Strategies,B+,1000,A,1.45,40%,55%,41%,55%
2022,MAR. 17-22,McLaughlin & Associates,C/D,1000,LV,0.76,41%,57%,40%,56%
2022,MAR. 16-22,Morning Consult,B,45000,A,0.97,41%,50%,40%,53%
2022,MAR. 18-21,Morning Consult,B,2211,A,0.05,38%,56%,37%,59%
2022,MAR. 18-21,Echelon Insights,B/C,1050,RV,1.24,45%,53%,44%,53%
2022,MAR. 18-21,Morning Consult,B,2005,RV,0.04,42%,55%,41%,58%
2022,MAR. 18-21,Beacon Research/Shaw & Company Research,A,1004,RV,1.77,45%,54%,43%,53%
2022,MAR. 17-21,AP-NORC,,1082,A,1.44,43%,56%,40%,56%
2022,MAR. 15-21,University of Massachusetts Lowell,B+,1000,A,1.52,43%,57%,43%,56%
2022,MAR. 11-21,Hofstra University,B/C,2000,RV,1.34,43%,57%,42%,56%
,03/20/2022,Redfield & Wilton Strategies,B/C,1500,RV,1.02,39%,45%,41%,50%
2022,MAR. 18-20,Emerson College,A-,1023,RV,1.64,43%,49%,43%,50%
2022,MAR. 18-20,Léger,B/C,1000,A,0.98,47%,51%,47%,51%
2022,MAR. 17-20,American Research Group,C+,1100,A,1.09,45%,51%,43%,53%
2022,MAR. 17-20,Navigator Research,B/C,1000,RV,0.91,44%,52%,43%,51%
2022,MAR. 16-20,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.54,40%,58%,42%,52%
2022,MAR. 15-20,Selzer & Co.,A+,1002,A,2.07,34%,52%,37%,52%
2022,MAR. 15-18,Morning Consult,B,4419,A,0.09,41%,54%,40%,57%
2022,MAR. 1-18,Gallup,B+,1017,A,1.54,42%,54%,42%,53%
2022,MAR. 14-17,Morning Consult,B,2210,A,0.05,43%,53%,42%,56%
2022,MAR. 14-15,Ipsos,B-,1005,A,0.68,43%,53%,41%,55%
2022,MAR. 13-15,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.7,42%,57%,44%,51%
2022,MAR. 12-15,YouGov,B+,1500,A,0.72,40%,50%,41%,51%
2022,MAR. 9-15,Morning Consult,B,45000,A,1,41%,51%,40%,54%
2022,MAR. 11-14,Morning Consult,B,2210,A,0.05,40%,54%,39%,57%
2022,MAR. 11-14,Morning Consult,B,2005,RV,0.04,41%,56%,40%,59%
2022,MAR. 10-14,Monmouth University,A,809,A,1.53,39%,54%,40%,54%
2022,MAR. 10-14,YouGov,B+,1623,A,0.75,41%,53%,42%,54%
2022,MAR. 10-14,Quinnipiac University,A-,1936,A,1.74,38%,53%,41%,53%
2022,MAR. 7-13,Pew Research Center,B/C,10441,A,3.17,43%,55%,43%,54%
2022,FEB. 28-MAR. 12,Saint Leo University,C/D,1000,A,0.81,45%,53%,42%,55%
2022,MAR. 8-11,YouGov,B+,2088,A,0.94,43%,57%,44%,58%
2022,MAR. 8-10,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.62,41%,58%,43%,52%
2022,MAR. 8-9,Trafalgar Group,A-,1080,LV,1.71,42%,52%,44%,50%
2022,MAR. 2-9,Momentive/SurveyMonkey,C,16901,A,1.5,45%,54%,44%,54%
2022,MAR. 2-9,Schoen Cooperman Research,B/C,800,LV,0.98,45%,54%,44%,54%
,03/08/2022,Redfield & Wilton Strategies,B/C,1500,RV,0.92,37%,47%,39%,52%
2022,MAR. 7-8,Ipsos,B-,1005,A,0.68,45%,49%,43%,50%
2022,MAR. 7-8,InsiderAdvantage,B,750,LV,1.15,42%,54%,43%,52%
2022,MAR. 5-8,YouGov,B+,1500,A,0.66,41%,48%,42%,49%
2022,MAR. 2-8,Morning Consult,B,45000,A,1,42%,50%,41%,53%
2022,MAR. 4-7,Morning Consult,B,2005,RV,0.04,46%,51%,45%,54%
2022,MAR. 3-7,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.7,41%,58%,43%,52%
2022,MAR. 3-7,Navigator Research,B/C,1000,RV,0.77,45%,53%,44%,52%
2022,MAR. 2-7,"Fabrizio, Lee & Associates/Impact Research",,1500,RV,1.16,42%,57%,42%,55%
2022,MAR. 4-6,Quinnipiac University,A-,1374,A,1.23,38%,51%,41%,51%
2022,MAR. 4-6,Morning Consult,B,2005,RV,0.04,45%,51%,44%,54%
2022,MAR. 4-6,Léger,B/C,1003,A,0.97,48%,49%,48%,49%
2022,MAR. 2-4,TIPP Insights,A+,1318,A,2.44,39%,47%,40%,52%
2022,MAR. 1-3,Cor Services,,524,LV,0.63,47%,48%,49%,47%
2022,MAR. 1-2,Marist College,A,1322,A,2.02,47%,50%,48%,50%
2022,FEB. 28-MAR. 2,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.78,44%,54%,46%,48%
2022,FEB. 28-MAR. 1,Ipsos,B-,1005,A,0.65,43%,54%,41%,55%
2022,FEB. 26-MAR. 1,YouGov,B+,1500,A,0.63,42%,47%,43%,48%
2022,FEB. 23-MAR. 1,Morning Consult,B,45000,A,0.98,42%,50%,41%,53%
2022,FEB. 24-28,YouGov,B+,2238,A,0.89,44%,56%,45%,57%
2022,FEB. 26-27,Morning Consult,B,2210,A,0.05,42%,54%,41%,57%
2022,FEB. 25-27,Morning Consult,B,2004,RV,0.04,41%,56%,40%,59%
2022,FEB. 25-27,Quinnipiac University,A-,1364,A,1.34,37%,52%,40%,52%
2022,FEB. 24-27,YouGov,B+,1532,A,0.61,41%,53%,42%,54%
2022,FEB. 23-27,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.54,40%,59%,42%,53%
,02/26/2022,Morning Consult,B,2002,RV,0.04,44%,54%,43%,57%
2022,FEB. 24-25,YouGov Blue,,1007,RV,0.84,41%,55%,41%,54%
,02/24/2022,Morning Consult,B,1717,RV,0.04,47%,51%,46%,54%
2022,FEB. 23-24,NewsNation,,1046,RV,0.82,43%,57%,42%,56%
2022,FEB. 23-24,Harris Poll,B+,2026,RV,2.09,38%,55%,37%,56%
2022,FEB. 20-24,ABC News/The Washington Post,A+,1011,A,2,37%,55%,38%,54%
,02/23/2022,Redfield & Wilton Strategies,B/C,1500,RV,0.96,39%,41%,41%,46%
2022,FEB. 22-23,Ipsos,B-,1004,A,0.62,43%,53%,42%,54%
2022,FEB. 19-23,Echelon Insights,B/C,1078,RV,1.25,44%,53%,43%,53%
2022,FEB. 19-23,The Bullfinch Group,,1247,A,1.09,44%,51%,43%,52%
2022,FEB. 20-22,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.7,45%,55%,47%,49%
2022,FEB. 19-22,Beacon Research/Shaw & Company Research,A,1001,RV,1.77,43%,56%,41%,55%
2022,FEB. 19-22,YouGov,B+,1500,A,0.61,41%,49%,42%,50%
2022,FEB. 17-22,Navigator Research,B/C,1770,RV,1.1,43%,55%,42%,54%
2022,FEB. 16-22,Morning Consult,B,45000,A,0.98,42%,50%,41%,53%
2022,FEB. 16-22,McLaughlin & Associates,C/D,1000,LV,0.76,41%,57%,40%,56%
2022,FEB. 19-21,Morning Consult,B,2005,RV,0.04,45%,53%,44%,56%
2022,FEB. 18-21,AP-NORC,,1289,A,1.6,44%,55%,41%,55%
2022,FEB. 15-21,Marist College,A,1264,A,1.97,39%,55%,40%,55%
2022,FEB. 19-20,Morning Consult,B,3007,RV,0.06,45%,52%,44%,55%
2022,FEB. 19-20,Emerson College,A-,1138,RV,1.77,42%,50%,43%,51%
2022,FEB. 18-20,Morning Consult,B,2005,RV,0.04,44%,52%,43%,55%
2022,FEB. 17-20,American Research Group,C+,1100,A,1.09,44%,52%,42%,54%
2022,FEB. 16-20,Suffolk University,B+,1000,RV,1.56,39%,57%,41%,54%
2022,FEB. 15-18,YouGov,B+,2484,A,1,43%,57%,44%,58%
2022,FEB. 15-17,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.62,43%,56%,45%,50%
2022,FEB. 10-17,Tarrance Group,B+,800,RV,1.3,41%,53%,41%,53%
2022,FEB. 1-17,Gallup,B+,1008,A,1.52,41%,55%,41%,54%
2022,FEB. 13-16,Trafalgar Group,A-,1078,LV,1.71,39%,58%,41%,55%
2022,FEB. 14-15,Ipsos,B-,1005,A,0.56,44%,51%,43%,52%
2022,FEB. 12-15,YouGov,B+,1500,A,0.61,39%,50%,40%,51%
2022,FEB. 9-15,Morning Consult,B,45000,A,0.98,41%,50%,40%,53%
2022,FEB. 10-14,Quinnipiac University,A-,1321,A,1.66,35%,55%,38%,55%
2022,FEB. 10-14,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.7,40%,59%,42%,53%
2022,FEB. 12-13,Morning Consult,B,2210,A,0.05,42%,52%,41%,55%
2022,FEB. 12-13,Morning Consult,B,2005,RV,0.04,43%,53%,42%,56%
2022,FEB. 8-11,YouGov,B+,2578,A,1.05,44%,56%,45%,57%
2022,FEB. 9-10,Morning Consult,B,2210,A,0.05,44%,51%,43%,54%
2022,FEB. 7-9,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.78,43%,55%,45%,49%
2022,FEB. 3-9,Susquehanna Polling & Research,B+,800,LV,1.29,42%,52%,43%,52%
2022,FEB. 7-8,Ipsos,B-,1005,A,0.36,43%,51%,42%,52%
2022,FEB. 5-8,YouGov,B+,1500,A,0.64,39%,50%,40%,51%
2022,FEB. 4-8,Public Opinion Strategies,A-,1000,RV,1.64,43%,54%,42%,54%
2022,FEB. 2-8,Morning Consult,B,45000,A,0.99,41%,51%,40%,54%
,02/07/2022,Morning Consult,B,2005,RV,0.04,43%,55%,42%,58%
2022,FEB. 3-7,YouGov,B+,1628,A,0.74,42%,51%,43%,52%
2022,FEB. 3-7,Navigator Research,B/C,1000,RV,0.79,43%,55%,42%,54%
2022,FEB. 1-7,SurveyMonkey,C,7590,A,1.49,44%,53%,43%,53%
2022,JAN. 31-FEB. 7,Ipsos,B-,4404,A,1.36,45%,52%,44%,53%
,02/06/2022,Redfield & Wilton Strategies,B/C,1500,RV,1.09,38%,48%,40%,53%
2022,FEB. 5-6,Morning Consult,B,2005,RV,0.04,41%,55%,40%,58%
2022,FEB. 4-6,Morning Consult,B,2209,A,0.05,45%,51%,44%,54%
2022,FEB. 4-6,Léger,B/C,1005,A,0.97,42%,55%,42%,55%
2022,FEB. 2-6,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.54,43%,56%,45%,50%
2022,JAN. 10-FEB. 6,SSRS,C,1527,A,1.13,41%,58%,40%,58%
2022,FEB. 2-4,TIPP Insights,A+,1355,A,2.47,38%,48%,39%,53%
2022,FEB. 2-3,Ipsos,B-,1005,A,0.32,41%,56%,39%,58%
2022,FEB. 1-2,Morning Consult,B,2210,A,0.05,42%,52%,41%,55%
2022,JAN. 30-FEB. 1,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.7,39%,59%,41%,53%
2022,JAN. 29-FEB. 1,YouGov,B+,1500,A,0.78,42%,49%,43%,50%
2022,JAN. 26-FEB. 1,Morning Consult,B,45000,A,0.98,41%,51%,40%,54%
2022,JAN. 28-30,Morning Consult,B,2005,RV,0.04,43%,54%,42%,57%
2022,JAN. 28-29,Public Policy Polling,A-,662,RV,1.2,40%,49%,41%,49%
2022,JAN. 26-27,Ipsos,B-,1002,A,0.44,45%,50%,44%,52%
2022,JAN. 25-27,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.62,41%,57%,43%,51%
2022,JAN. 22-25,YouGov,B+,1500,A,0.82,38%,51%,39%,52%
2022,JAN. 19-25,Morning Consult,B,45000,A,0.96,42%,50%,41%,53%
2022,JAN. 21-24,Zogby Analytics,B-,897,LV,1.1,44%,49%,42%,51%
2022,JAN. 20-24,Navigator Research,B/C,1000,RV,0.83,46%,52%,45%,51%
2022,JAN. 20-24,Monmouth University,A,794,A,1.51,39%,54%,40%,54%
2022,JAN. 20-24,YouGov,B+,1568,A,0.84,40%,53%,41%,54%
2022,JAN. 20-24,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.7,40%,59%,42%,53%
2022,JAN. 17-24,Momentive/SurveyMonkey,C,12136,A,1.54,45%,53%,44%,53%
,01/23/2022,Morning Consult,B,2005,RV,0.04,41%,56%,40%,59%
2022,JAN. 22-23,Morning Consult,B,2005,RV,0.04,42%,55%,41%,58%
2022,JAN. 22-23,Morning Consult,B,2210,A,0.05,41%,53%,40%,56%
2022,JAN. 22-23,Morning Consult,B,2211,A,0.05,43%,50%,42%,53%
2022,JAN. 21-23,Léger,B/C,1000,A,0.98,42%,56%,42%,56%
2022,JAN. 21-23,InsiderAdvantage,B,850,LV,1.25,40%,59%,41%,57%
2022,JAN. 21-23,Echelon Insights,B/C,1029,RV,0.96,46%,52%,45%,52%
2022,JAN. 10-21,Marquette University Law School,A/B,1000,A,1.91,46%,53%,44%,53%
2022,JAN. 19-20,Ipsos,B-,1004,A,0.59,43%,52%,42%,53%
2022,JAN. 19-20,Harris Poll,B+,1815,RV,2.01,39%,53%,38%,54%
2022,JAN. 17-20,American Research Group,C+,1100,A,1.11,43%,53%,41%,55%
2022,JAN. 18-19,RMG Research,B-,1200,RV,0.68,42%,52%,41%,53%
2022,JAN. 17-19,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.79,40%,58%,42%,52%
2022,JAN. 16-19,Beacon Research/Shaw & Company Research,A,1001,RV,1.79,47%,52%,45%,51%
2022,JAN. 15-18,YouGov,B+,1500,A,0.8,39%,51%,40%,52%
2022,JAN. 14-18,Hart Research Associates/Public Opinion Strategies,B+,1000,A,1.45,43%,54%,44%,54%
2022,JAN. 13-18,McLaughlin & Associates,C/D,1000,LV,0.77,41%,57%,40%,56%
2022,JAN. 13-18,AP-NORC,,1161,A,1.54,43%,56%,40%,56%
2022,JAN. 12-18,Morning Consult,B,45000,A,0.96,43%,49%,42%,52%
2022,JAN. 14-17,Echelon Insights,B/C,1000,RV,0.94,45%,52%,44%,52%
2022,JAN. 10-17,Pew Research Center,B/C,5128,A,2.78,41%,56%,41%,55%
2022,JAN. 15-16,Morning Consult,B,2005,RV,0.04,40%,56%,39%,59%
2022,JAN. 14-16,Morning Consult,B,2210,A,0.05,41%,52%,40%,55%
2022,JAN. 14-16,Morning Consult,B,4411,A,0.09,43%,52%,42%,55%
2022,JAN. 12-16,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.54,39%,60%,41%,54%
2022,JAN. 3-16,Gallup,B+,811,A,1.32,40%,56%,40%,55%
2022,JAN. 14-15,Morning Consult,B,2210,A,0.05,44%,50%,43%,53%
2022,JAN. 13-15,RMG Research,B-,1200,RV,0.55,44%,50%,43%,51%
2022,JAN. 12-15,Trafalgar Group,A-,1083,LV,1.73,39%,59%,41%,56%
2022,JAN. 13-14,YouGov Blue,,1055,RV,0.85,40%,55%,40%,54%
2022,JAN. 12-14,Morning Consult,B,2210,A,0.05,44%,50%,43%,53%
2022,JAN. 12-14,YouGov,B+,2094,A,1.16,44%,56%,45%,57%
2022,JAN. 12-13,Ipsos,B-,1005,A,0.68,45%,50%,43%,51%
2022,JAN. 11-12,RMG Research,B-,1200,RV,0.53,40%,53%,39%,54%
2022,JAN. 9-11,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.71,40%,58%,42%,52%
2022,JAN. 8-11,YouGov,B+,1500,A,0.89,43%,50%,44%,51%
2022,JAN. 5-11,Morning Consult,B,45000,A,1.02,43%,49%,42%,52%
,01/10/2022,NewsNation,,1013,RV,0.84,42%,58%,41%,56%
2022,JAN. 7-10,Quinnipiac University,A-,1313,A,1.9,33%,53%,36%,53%
2022,JAN. 6-10,Navigator Research,B/C,1000,RV,0.92,47%,51%,46%,50%
2022,JAN. 8-9,Morning Consult,B,2200,A,0.05,44%,50%,43%,53%
2022,JAN. 8-9,Redfield & Wilton Strategies,B/C,1500,RV,1.17,39%,44%,41%,49%
2022,JAN. 8-9,Morning Consult,B,2200,A,0.05,43%,51%,42%,54%
2022,JAN. 5-9,TIPP Insights,A+,1308,A,2.42,44%,45%,45%,50%
2022,JAN. 6-7,RMG Research,B-,1200,RV,0.54,41%,52%,40%,53%
2022,JAN. 5-6,Ipsos,B-,1000,A,0.78,45%,51%,44%,52%
2022,JAN. 4-6,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.63,41%,58%,43%,52%
,01/05/2022,Morning Consult,B,2200,A,0.05,43%,50%,42%,53%
2022,JAN. 3-4,RMG Research,B-,1200,RV,0.58,42%,50%,41%,51%
2022,JAN. 2-4,The Winston Group,A/B,1000,RV,1.62,46%,44%,45%,47%
2022,JAN. 2-4,YouGov,B+,1500,A,1.14,40%,50%,41%,51%
2021-2022,DEC. 29-JAN. 4,Morning Consult,B,45000,A,1.06,42%,50%,41%,53%
2021-2022,DEC. 30-JAN. 3,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.72,40%,58%,42%,52%
2021,DEC. 27-30,Suffolk University,B+,1000,RV,1.56,40%,54%,42%,52%
2021,DEC. 28-29,Morning Consult,B,2000,RV,0.05,43%,54%,42%,57%
2021,DEC. 27-29,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.86,43%,56%,45%,50%
2021,DEC. 22-28,Morning Consult,B,45000,A,1.07,44%,49%,43%,52%
2021,DEC. 21-26,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.55,40%,58%,42%,52%
2021,DEC. 21-22,RMG Research,B-,1200,RV,0.59,41%,53%,40%,54%
2021,DEC. 21-22,Zogby Analytics,B-,1311,LV,1.32,50%,48%,47%,50%
2021,DEC. 19-21,YouGov,B+,1500,A,1.05,39%,49%,40%,50%
2021,DEC. 18-21,Trafalgar Group,A-,1073,LV,1.68,40%,56%,42%,53%
2021,DEC. 15-21,Morning Consult,B,45000,A,1.04,45%,48%,44%,51%
2021,DEC. 18-20,Morning Consult,B,1999,RV,0.05,44%,53%,43%,56%
2021,DEC. 17-20,Change Research,B-,1895,RV,1.49,44%,56%,44%,54%
2021,DEC. 17-20,American Research Group,C+,1100,A,1.1,46%,49%,44%,51%
2021,DEC. 16-20,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.74,42%,57%,44%,51%
2021,DEC. 14-20,YouGov,B+,1000,A,0.64,41%,53%,42%,54%
2021,DEC. 17-19,InsiderAdvantage,B,750,RV,1.15,41%,58%,42%,56%
,12/18/2022,Redfield & Wilton Strategies,B/C,1500,RV,1.02,41%,44%,43%,49%
,12/17/2022,John Zogby Strategies,B/C,777,LV,1.06,46%,52%,45%,53%
2021,DEC. 16-17,RMG Research,B-,1200,RV,0.5,41%,53%,40%,54%
2021,DEC. 15-17,Ipsos,B-,1004,A,0.36,48%,46%,47%,47%
2021,DEC. 13-17,Ipsos,B-,4407,A,1.53,48%,48%,47%,49%
2021,DEC. 1-16,Gallup,B+,811,A,1.32,43%,51%,43%,50%
2021,DEC. 14-15,RMG Research,B-,1200,RV,0.48,42%,52%,41%,53%
2021,DEC. 13-15,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.81,40%,58%,42%,52%
2021,DEC. 12-14,YouGov,B+,1500,A,0.89,41%,50%,42%,51%
2021,DEC. 11-14,Beacon Research/Shaw & Company Research,A,1002,RV,1.77,47%,51%,45%,50%
2021,DEC. 8-14,Morning Consult,B,45000,A,0.95,44%,48%,43%,51%
2021,DEC. 11-13,Morning Consult,B,1998,RV,0.04,46%,51%,45%,54%
2021,DEC. 11-13,Marist College,A,1400,A,2.06,41%,55%,42%,55%
2021,DEC. 9-13,YouGov,B+,1558,A,0.92,41%,53%,42%,54%
2021,DEC. 9-13,Echelon Insights,B/C,1020,RV,1.21,48%,51%,47%,51%
2021,DEC. 8-12,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.56,43%,56%,45%,50%
2021,DEC. 8-12,SSRS,C,1256,A,1.06,49%,51%,48%,51%
2021,DEC. 9-10,Ipsos,B-,1004,A,0.41,48%,48%,47%,50%
2021,DEC. 8-10,RMG Research,B-,1200,RV,0.45,41%,53%,40%,54%
2021,DEC. 7-9,Morning Consult,B,2200,A,0.05,49%,47%,48%,50%
2021,DEC. 2-9,Schoen Cooperman Research,B/C,800,LV,0.98,46%,51%,45%,51%
2021,DEC. 6-8,RMG Research,B-,1200,RV,0.45,45%,49%,44%,50%
2021,DEC. 6-7,HarrisX,B+,926,RV,1.23,45%,50%,41%,51%
2021,DEC. 5-7,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.73,42%,57%,44%,51%
2021,DEC. 4-7,YouGov,B+,1500,A,0.93,39%,52%,40%,53%
2021,DEC. 3-7,Morning Consult,B,2200,A,0.04,47%,47%,46%,50%
2021,DEC. 2-7,AP-NORC,,1089,A,1.48,48%,51%,45%,51%
2021,DEC. 1-7,Morning Consult,B,45000,A,0.87,44%,48%,43%,51%
2021,NOV. 30-DEC. 7,YouGov/Pennsylvania State University McCourtney Institute for Democracy,B+,1200,A,1.76,45%,55%,44%,54%
2021,DEC. 4-6,Morning Consult,B,2000,RV,0.04,45%,51%,44%,54%
2021,DEC. 3-6,Navigator Research,B/C,1000,RV,0.93,45%,52%,44%,51%
2021,DEC. 3-6,Morning Consult,B,2200,A,0.04,47%,48%,46%,51%
2021,DEC. 2-6,Monmouth University,A,808,A,1.52,40%,50%,41%,50%
2021,DEC. 2-6,Morning Consult,B,2200,A,0.04,50%,46%,49%,49%
2021,NOV. 30-DEC. 6,Marist College,A,1172,A,1.7,42%,51%,43%,51%
,12/05/2022,Redfield & Wilton Strategies,B/C,1500,RV,1,37%,45%,39%,50%
2021,DEC. 3-5,Léger,B/C,1004,A,0.97,44%,55%,44%,55%
2021,DEC. 1-4,TIPP Insights,A+,1301,A,2.43,43%,43%,44%,48%
2021,DEC. 1-4,Hart Research Associates/Public Opinion Strategies,B+,800,A,1.25,41%,50%,42%,50%
2021,DEC. 1-3,RMG Research,B-,1200,RV,0.46,46%,48%,45%,49%
2021,DEC. 1-2,Ipsos,B-,1005,A,0.67,46%,49%,44%,50%
2021,NOV. 30-DEC. 2,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.67,42%,57%,44%,51%
2021,NOV. 30-DEC. 2,Harris Poll,B+,1989,RV,2.1,45%,51%,44%,52%
2021,NOV. 29-DEC. 1,Cor Services,,523,LV,0.63,42%,51%,44%,50%
2021,NOV. 29-30,RMG Research,B-,1200,RV,0.47,43%,52%,42%,53%
2021,NOV. 29-30,Morning Consult,B,2200,A,0.04,46%,48%,45%,51%
2021,NOV. 28-30,Morning Consult,B,18914,RV,0.36,45%,52%,44%,55%
2021,NOV. 27-30,YouGov,B+,1500,A,0.98,41%,49%,42%,50%
2021,NOV. 24-30,Morning Consult,B,45000,A,0.91,44%,49%,43%,52%
2021,NOV. 26-29,Trafalgar Group,A-,1082,LV,1.71,36%,59%,38%,56%
2021,NOV. 23-29,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.82,43%,56%,45%,50%
2021,NOV. 24-27,Morning Consult,B,2200,A,0.04,46%,49%,45%,52%
2021,NOV. 22-24,The Winston Group,A/B,1000,RV,1.47,42%,47%,41%,50%
2021,NOV. 22-23,RMG Research,B-,1200,RV,0.5,43%,52%,42%,53%
2021,NOV. 20-23,YouGov,B+,1500,A,0.78,41%,49%,42%,50%
2021,NOV. 17-23,Morning Consult,B,45000,A,0.97,44%,48%,43%,51%
2021,NOV. 20-22,Morning Consult,B,1999,RV,0.04,44%,52%,43%,55%
2021,NOV. 18-22,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.76,41%,58%,43%,52%
2021,NOV. 18-22,Navigator Research,B/C,1000,RV,0.84,43%,54%,42%,53%
2021,NOV. 16-22,"Fabrizio, Lee & Associates/Impact Research",,1500,RV,1.16,41%,57%,41%,55%
2021,NOV. 19-21,Morning Consult,B,2200,A,0.05,47%,47%,46%,50%
2021,NOV. 19-21,Léger,B/C,1001,A,0.88,44%,53%,44%,53%
2021,NOV. 18-21,Public Opinion Strategies,A-,1000,RV,1.64,47%,53%,46%,53%
2021,NOV. 17-21,Morning Consult,B,2199,A,0.05,47%,48%,46%,51%
2021,NOV. 17-20,American Research Group,C+,1100,A,1.1,44%,50%,42%,52%
2021,NOV. 17-19,YouGov,B+,1696,A,0.8,43%,52%,44%,53%
2021,NOV. 16-19,Marist College,A,1048,A,1.71,42%,50%,43%,50%
2021,NOV. 15-19,YouGov,B+,2058,A,0.96,44%,56%,45%,57%
2021,NOV. 17-18,RMG Research,B-,1200,RV,0.5,44%,52%,43%,53%
2021,NOV. 17-18,Ipsos,B-,1003,A,0.79,44%,49%,43%,50%
2021,NOV. 16-18,HarrisX,B+,2787,RV,2.3,44%,45%,40%,46%
2021,NOV. 12-18,Echelon Insights,B/C,1013,RV,1.14,45%,52%,44%,52%
2021,NOV. 15-17,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.81,41%,59%,43%,53%
2021,NOV. 14-17,Beacon Research/Shaw & Company Research,A,1003,RV,1.76,44%,54%,42%,53%
2021,NOV. 15-16,RMG Research,B-,1200,RV,0.5,41%,53%,40%,54%
2021,NOV. 14-16,YouGov,B+,1500,A,0.71,43%,49%,44%,50%
2021,NOV. 11-16,McLaughlin & Associates,C/D,1000,LV,0.76,42%,56%,41%,55%
2021,NOV. 10-16,Morning Consult,B,45000,A,0.99,44%,48%,43%,51%
2021,NOV. 1-16,Gallup,B+,815,A,1.32,42%,55%,42%,54%
